Gold (OG|GC) OG4F6 (0.77 DTE) vs 4938.4 (+100.9) - Open Interest
Strike,Call,Put,Vol Settle
4695,10,29,0.38221599365238035
4700,181,226,0.3802207061910394
4705,65,19,0.37829728154110853
4710,61,36,0.3764455690459272
4715,11,54,0.37466539382330666
4720,68,72,0.37295655677007744
4725,77,110,0.3713188345626577
4730,85,117,0.36975197965591633
4735,8,84,0.368255720282491
4740,39,318,0.3668297604527879
4745,25,14,0.36547377995896113
4750,201,203,0.36418743436672685
4755,25,12,0.36297035502514063
4760,21,31,0.3618221490578435
4765,53,19,0.3607423993687462
4770,52,32,0.3597306646410061
4775,74,26,0.3587864793348672
4780,24,18,0.3579093536889104
4785,18,21,0.3570987737219866
4790,33,37,0.3563542012295784
4795,32,12,0.3556750737850507
4800,689,341,0.3550608047427204
4805,34,6,0.3545107832338772
4810,6,9,0.3540243741681479
4815,21,82,0.35360091823486073
4820,13,47,0.35323973190031666
4825,61,62,0.35294010741051807
4830,41,15,0.3527013127873033
4835,44,53,0.35252259183562273
4840,2,1,0.352403164134671
4845,0,1,0.35234222504402624
4850,213,68,0.3523389457012627
4855,0,2,0.3523924730232011
4860,1,3,0.35250192970443095
4865,0,0,0.3526664142169693
4870,7,0,0.3528850008144673
4875,157,4,0.3531567395245929
4880,0,0,0.35348065615767155
4885,0,2,0.35385575229986443
4890,1,0,0.35428100531760265
4895,2,1,0.35475536835406274
4900,260,44,0.3552777703320089
4905,0,0,0.3558471159522014
4910,1,0,0.3564622856937376
4915,2,0,0.35712213581484775
4920,0,0,0.35782549835255395
4925,61,0,0.3585711811206238
4930,0,0,0.3593579677119578
4935,0,0,0.3601846174996126
4940,1,0,0.3610498656330492
4945,0,0,0.36195242304040676
4950,108,1,0.36289097642952584
4955,2,0,0.36386418828681144
4960,0,0,0.36487069687461826
4965,6,0,0.36590911623636657
4975,199,0,0.36807602234478054
5000,285,0,0.3739500464940875
5025,110,0,0.3803216380511003
5050,93,0,0.386984247732471
5075,5,0,0.393716187797736
5100,151,0,0.40028063205318176
5125,0,0,0.4064256158471835
5150,159,0,0
